place_i,place_j,shared_users,place_i_users,place_j_users,pci,dir_pci
IDN,BLR,99,797242,4614,1.632,21.456
FIN,TZA,112,32500,25444,3.895,4.402
BFA,TKM,2,508,188,6.472,10.638
AFG,FIN,15,1444,32500,2.190,0.462
ITA,CYM,161,302492,1631,7.248,98.712
POL,BGD,210,58288,38564,4.429,5.445
TZA,JAM,69,25444,8567,4.673,8.054
DNK,PRY,59,38106,39492,1.521,1.494
BDI,CMR,9,289,9757,5.360,0.922
MOZ,DEU,87,2682,273307,3.213,0.318
KWT,LTU,16,110415,5816,0.631,2.751
DZA,IRL,77,21587,107364,1.599,0.717
ROU,RWA,13,18903,2415,1.924,5.383
USA,NRU,4,4704692,12,0.532,333.333
SYC,PYF,10,534,766,15.636,13.055
MDA,VCT,1,737,373,1.907,2.681
TWN,BHS,45,61165,7854,2.053,5.730
TUR,LBR,16,717647,635,0.750,25.197
GTM,MEX,1499,9361,594386,20.096,2.522
TCD,BHS,4,308,7854,2.572,0.509
MRT,RWA,2,429,2415,1.965,0.828
SYR,PSE,50,1493,3954,20.579,12.645
CYM,PAK,3,1631,102573,0.232,0.029
GRD,LTU,4,547,5816,2.243,0.688
GUF,POL,5,303,58288,1.190,0.086
GGY,LAO,1,1036,2983,0.569,0.335
TUN,IRQ,44,3690,8149,8.024,5.399
MLI,GIN,14,925,1066,14.099,13.133
SHN,LTU,1,29,5816,2.435,0.172
EGY,AND,40,156265,4256,1.551,9.398
ITA,XNC,153,302492,3582,4.648,42.714
MEX,ROU,748,594386,18903,7.057,39.570
KAZ,LAO,14,3178,2983,4.547,4.693
MDG,QAT,9,754,38118,1.679,0.236
MEX,MYT,3,594386,123,0.351,24.390
AND,MMR,15,4256,4807,3.316,3.120
CHE,AUS,2612,76384,179728,22.293,14.533
PSE,URY,21,3954,48468,1.517,0.433
URY,PYF,8,48468,766,1.313,10.444
RUS,MWI,18,136230,1396,1.305,12.894
PYF,GAB,1,766,1522,0.926,0.657
CZE,CMR,25,43191,9757,1.218,2.562
GRL,DOM,11,447,46940,2.401,0.234
VIR,NOR,33,4378,31294,2.819,1.055
SMR,PSE,5,869,3954,2.697,1.265
GIN,BLR,6,1066,4614,2.705,1.300
PRI,KHM,55,48671,5940,3.235,9.259
GBR,TJK,27,1172344,257,1.555,105.058
CYP,LBR,5,4285,635,3.031,7.874
COL,NCL,8,236920,346,0.884,23.121
PYF,GIN,1,766,1066,1.107,0.938
SAU,COG,22,517797,1963,0.690,11.207
IDN,ISR,433,797242,10149,4.814,42.664
FRO,AFG,1,272,1444,1.596,0.693
MKD,BRB,5,1634,2089,2.706,2.393
ARM,PRK,7,1505,450,8.506,15.556
PRY,BEN,6,39492,1200,0.872,5.000
AFG,PRK,8,1444,450,9.924,17.778
PRI,PHL,353,48671,571031,2.117,0.618
CUB,BDI,5,6315,289,3.701,17.301
TCD,SVN,1,308,3390,0.979,0.295
TLS,MEX,15,218,594386,1.318,0.025
VGB,PER,19,698,81652,2.517,0.233
ARE,JPN,4290,172797,1087206,9.898,3.946
SWE,ARE,1379,59123,172797,13.643,7.980
SGP,TLS,20,75983,218,4.914,91.743
GEO,KAZ,102,4124,3178,28.175,32.096
CYM,CMR,2,1631,9757,0.501,0.205
KAZ,VGB,4,3178,698,2.686,5.731
MLT,VUT,4,3352,199,4.898,20.101
MMR,SLV,17,4807,19968,1.735,0.851
LVA,PNG,1,9833,451,0.475,2.217
CUB,MWI,5,6315,1396,1.684,3.582
MLI,PNG,2,925,451,3.096,4.435
GMB,BTN,1,542,727,1.593,1.376
MWI,BLZ,2,1396,1549,1.360,1.291
BLZ,GNQ,2,1549,196,3.630,10.204
ZMB,VEN,9,9787,71139,0.341,0.127
HKG,BES,10,42552,414,2.383,24.155
BHS,KAZ,20,7854,3178,4.003,6.293
MDG,XNC,3,754,3582,1.825,0.838
IDN,ARE,3619,797242,172797,9.750,20.944
KNA,ESP,64,641,612306,3.230,0.105
CUB,DOM,289,6315,46940,16.786,6.157
LTU,UGA,15,5816,20930,1.360,0.717
CAN,ITA,9178,384644,302492,26.907,30.341
DMA,BES,14,246,414,43.869,33.816
MEX,SEN,84,594386,3434,1.859,24.461
KNA,PRY,2,641,39492,0.398,0.051
MAR,UKR,166,35288,19011,6.409,8.732
EST,AUS,284,7914,179728,7.530,1.580
PER,ARE,655,81652,172797,5.514,3.791
VCT,NIC,1,373,3841,0.835,0.260
STP,DMA,1,69,246,7.676,4.065
BES,USA,240,414,4704692,5.438,0.051
BEL,NLD,22364,96930,191777,164.030,116.615
NZL,ALA,2,29647,444,0.551,4.505
PRT,JPN,2293,114156,1087206,6.509,2.109
CYP,BLZ,10,4285,1549,3.881,6.456
BLZ,GTM,113,1549,9361,29.675,12.071
BHS,JEY,6,7854,2019,1.507,2.972
IRQ,AFG,35,8149,1444,10.203,24.238
TWN,GEO,71,61165,4124,4.470,17.216
BLZ,BMU,11,1549,997,8.852,11.033
BHS,MMR,30,7854,4807,4.882,6.241
ZAF,FRO,19,180112,272,2.715,69.853
SYC,VGB,3,534,698,4.914,4.298
BEL,MKD,104,96930,1634,8.264,63.647
POL,SJM,24,58288,407,4.927,58.968
GBR,COM,12,1172344,104,1.087,115.385
KAZ,HKG,57,3178,42552,4.902,1.340
IMN,ARG,21,2568,410228,0.647,0.051
GTM,ZAF,117,9361,180112,2.849,0.650
AZE,BDI,1,4083,289,0.921,3.460
ATG,ETH,8,1084,2741,4.641,2.919
SWZ,MAR,5,788,35288,0.948,0.142
YEM,LBY,6,1355,2753,3.107,2.179
ECU,BHS,98,61055,7854,4.475,12.478
BLZ,KEN,28,1549,62817,2.839,0.446
MMR,ARG,134,4807,410228,3.018,0.327
SLB,TCD,1,74,308,6.624,3.247
ARE,TGO,24,172797,908,1.916,26.432
WSM,BGR,3,228,5496,2.680,0.546
SWZ,DZA,1,788,21587,0.242,0.046
CUB,PRT,313,6315,114156,11.658,2.742
PRK,PAK,14,450,102573,2.061,0.136
CAF,MMR,6,176,4807,6.523,1.248
EGY,MYS,1307,156265,300914,6.027,4.343
MWI,RUS,18,1396,136230,1.305,0.132
SLV,MDA,8,19968,737,2.085,10.855
TZA,CAF,9,25444,176,4.253,51.136
MOZ,MNE,7,2682,1771,3.212,3.953
GRC,BDI,8,61903,289,1.891,27.682
SLV,MOZ,7,19968,2682,0.957,2.610
VEN,CAN,585,71139,384644,3.536,1.521
PRK,ECU,8,450,61055,1.526,0.131
AND,AZE,13,4256,4083,3.119,3.184
CRI,HRV,105,27611,9250,6.570,11.351
NRU,ARE,1,12,172797,0.694,0.006
SVK,KWT,59,3599,110415,2.960,0.534
GRC,MSR,3,61903,77,1.374,38.961
DNK,AUS,1359,38106,179728,16.422,7.561
KOR,BGR,99,111488,5496,3.999,18.013
LVA,HUN,384,9833,30689,22.105,12.513
DOM,ISR,136,46940,10149,6.231,13.400
COM,CHL,5,104,143661,1.294,0.035
COD,URY,27,4194,48468,1.894,0.557
FSM,MAR,1,50,35288,0.753,0.028
GLP,USA,220,1022,4704692,3.173,0.047
TKM,HKG,6,188,42552,2.121,0.141
SRB,NCL,4,17319,346,1.634,11.561
ZWE,JOR,34,13401,27790,1.762,1.223
KGZ,FJI,3,983,1393,2.564,2.154
MTQ,KHM,6,991,5940,2.473,1.010
SDN,GUY,3,15075,442,1.162,6.787
BMU,SUR,2,997,319,3.546,6.270
ECU,COG,13,61055,1963,1.187,6.623
VIR,TTO,25,4378,2571,7.452,9.724
BLR,GIN,6,4614,1066,2.705,5.629
CZE,BLR,198,43191,4614,14.026,42.913
RWA,PYF,3,2415,766,2.206,3.916
MWI,NAM,31,1396,2871,15.485,10.798
CHE,NCL,18,76384,346,3.501,52.023
GMB,KHM,8,542,5940,4.459,1.347
MSR,NOR,5,77,31294,3.221,0.160
MSR,IDN,5,77,797242,0.638,0.006
GTM,SDN,15,9361,15075,1.263,0.995
NZL,ITA,1420,29647,302492,14.995,4.694
AND,DEU,431,4256,273307,12.637,1.577
UGA,CRI,35,20930,27611,1.456,1.268
LAO,VUT,3,2983,199,3.894,15.075
NPL,SOM,3,8375,1345,0.894,2.230
MKD,STP,3,1634,69,8.935,43.478
TUR,DMA,7,717647,246,0.527,28.455
ARE,MAR,1581,172797,35288,20.247,44.803
GGY,EST,11,1036,7914,3.842,1.390
PER,PAK,150,81652,102573,1.639,1.462
SVK,UKR,178,3599,19011,21.519,9.363
SSD,ARE,69,1682,172797,4.047,0.399
GUY,JOR,2,442,27790,0.571,0.072
BGR,VCT,2,5496,373,1.397,5.362
CYP,LBN,94,4285,6368,17.995,14.761
ESH,THA,16,555,349012,1.150,0.046
IRQ,SYR,88,8149,1493,25.229,58.942
URY,GRD,4,48468,547,0.777,7.313
ARE,IMN,70,172797,2568,3.323,27.259
LBN,NER,6,6368,518,3.304,11.583
IDN,PAK,598,797242,102573,2.091,5.830
TUN,ERI,5,3690,65,10.209,76.923
HTI,COL,76,2693,236920,3.009,0.321
LKA,ROU,73,7471,18903,6.143,3.862
MAR,BES,6,35288,414,1.570,14.493
KHM,DMA,4,5940,246,3.309,16.260
ARE,QAT,4495,172797,38118,55.386,117.923
MDG,GMB,5,754,542,7.821,9.225
MAC,DNK,42,4155,38106,3.338,1.102
SHN,HRV,1,29,9250,1.931,0.108
LBR,GTM,4,635,9361,1.641,0.427
DEU,BIH,475,273307,2960,16.700,160.473
RWA,UZB,2,2415,1596,1.019,1.253
LVA,NER,4,9833,518,1.772,7.722
DZA,GEO,21,21587,4124,2.226,5.092
BOL,CHN,130,5771,150889,4.405,0.862
ZWE,LTU,6,13401,5816,0.680,1.032
BOL,FRA,418,5771,487938,7.877,0.857
AGO,URY,14,2537,48468,1.263,0.289
BDI,BLR,2,289,4614,1.732,0.433
MMR,HND,15,4807,5203,2.999,2.883
JAM,BTN,4,8567,727,1.603,5.502
TGO,PRY,3,908,39492,0.501,0.076
LUX,DEU,2652,8446,273307,55.198,9.703
CUB,CAN,860,6315,384644,17.449,2.236
FSM,GHA,3,50,56052,1.792,0.054
CMR,GUM,1,9757,3958,0.161,0.253
BOL,POL,66,5771,58288,3.599,1.132
MYT,ZAF,6,123,180112,1.275,0.033
LUX,GIN,3,8446,1066,1.000,2.814
FIN,MNP,2,32500,269,0.676,7.435
USA,LTU,1018,4704692,5816,6.154,175.034
FIN,PAN,45,32500,12245,2.256,3.675
VEN,PRT,434,71139,114156,4.816,3.802
IDN,CMR,63,797242,9757,0.714,6.457
RUS,ATF,2,136230,5,2.423,400.000
PRT,IRQ,52,114156,8149,1.705,6.381
SYR,GRD,2,1493,547,2.213,3.656
SWZ,GHA,11,788,56052,1.655,0.196
BHR,TCD,2,9721,308,1.156,6.494
HTI,SUR,7,2693,319,7.552,21.944
SYC,ARG,22,534,410228,1.486,0.054
GBR,GNB,16,1172344,98,1.493,163.265
AUT,SSD,31,61352,1682,3.052,18.430
PLW,VGB,2,116,698,7.029,2.865
BRA,MLT,206,1284039,3352,3.140,61.456
TKM,EST,2,188,7914,1.640,0.253
BES,BES,414,414,414,1000.000,1000.000
MNP,VGB,1,269,698,2.308,1.433
ALA,NZL,2,444,29647,0.551,0.067
QAT,MEX,548,38118,594386,3.641,0.922
XNC,UZB,8,3582,1596,3.346,5.013
GEO,GAB,4,4124,1522,1.597,2.628
TWN,AUS,1821,61165,179728,17.368,10.132
TCD,AUS,15,308,179728,2.016,0.083
LBN,DJI,5,6368,151,5.099,33.113
HND,LBR,2,5203,635,1.100,3.150
DMA,SWE,11,246,59123,2.884,0.186
PAN,BRA,797,12245,1284039,6.356,0.621
KAZ,PSE,18,3178,3954,5.078,4.552
AGO,UKR,15,2537,19011,2.160,0.789
KAZ,MDG,9,3178,754,5.814,11.936
CIV,CPV,8,2962,948,4.774,8.439
LVA,CHN,215,9833,150889,5.582,1.425
IRN,NPL,69,14530,8375,6.255,8.239
MTQ,BLR,4,991,4614,1.871,0.867
MNG,TWN,65,2244,61165,5.548,1.063
ARE,XKO,41,172797,1164,2.891,35.223
UKR,HTI,11,19011,2693,1.537,4.085
